Feature,Correlation,p-value
pcm_zcr_sma_upleveltime90,0.26516911108877717,0.0031596025602303986
audSpec_Rfilt_sma[3]_range,0.23716817589118028,0.008531463295158751
audSpec_Rfilt_sma[3]_skewness,0.32154416713521994,0.00030454276902645264
audSpec_Rfilt_sma[3]_kurtosis,0.3499865937964531,7.761042601815827e-05
audSpec_Rfilt_sma[3]_meanSegLen,0.2930615906628574,0.0010533213450663122
audSpec_Rfilt_sma[3]_minSegLen,0.3294707335750551,0.00021082504987279032
audSpec_Rfilt_sma[4]_skewness,0.2606060179804457,0.0037420486710522515
audSpec_Rfilt_sma[21]_skewness,0.28995020128656224,0.001197309376575481
audSpec_Rfilt_sma[21]_kurtosis,0.28637857516634496,0.0013845858310030093
audSpec_Rfilt_sma[21]_meanSegLen,0.26936255741974746,0.0026976969250003483
audSpec_Rfilt_sma[21]_minSegLen,0.30342941333485957,0.0006801661824651151
audSpec_Rfilt_sma[22]_skewness,0.34091782124561293,0.00012175447476709186
audSpec_Rfilt_sma[22]_kurtosis,0.40094997523214754,4.726632912930876e-06
audSpec_Rfilt_sma[22]_meanSegLen,0.35398328198465645,6.336137626462062e-05
audSpec_Rfilt_sma[22]_maxSegLen,0.2353707495894488,0.009060473896538744
audSpec_Rfilt_sma[22]_minSegLen,0.46131939092910573,8.906882901756802e-08
audSpec_Rfilt_sma[22]_segLenStddev,0.2545304922568558,0.004666573704316971
audSpec_Rfilt_sma[23]_skewness,0.34698628551524896,9.021572609342963e-05
audSpec_Rfilt_sma[23]_kurtosis,0.40734413960458576,3.2158072073463727e-06
audSpec_Rfilt_sma[23]_meanSegLen,0.3802414473591411,1.5597035246072276e-05
audSpec_Rfilt_sma[23]_minSegLen,0.4594718057527966,1.017664869434136e-07
audSpec_Rfilt_sma[23]_segLenStddev,0.26781688249168295,0.002860341951519114
audSpec_Rfilt_sma[24]_skewness,0.3451803438928701,9.86980297988794e-05
audSpec_Rfilt_sma[24]_kurtosis,0.3989332696941279,5.328344967627511e-06
audSpec_Rfilt_sma[24]_meanSegLen,0.3577325402833765,5.22524954824041e-05
audSpec_Rfilt_sma[24]_minSegLen,0.4607677099590232,9.269236177769604e-08
audSpec_Rfilt_sma[25]_skewness,0.3482764583984409,8.457778037200078e-05
audSpec_Rfilt_sma[25]_kurtosis,0.40466935943693527,3.781630015832516e-06
audSpec_Rfilt_sma[25]_meanSegLen,0.3661978944294714,3.351200535541056e-05
audSpec_Rfilt_sma[25]_minSegLen,0.4605383159912228,9.42401653936936e-08
pcm_fftMag_spectralRollOff50.0_sma_maxPos,0.27715610057416656,0.0019978304932413414
pcm_fftMag_spectralEntropy_sma_lpc1,-0.23535396151364,0.009065548231260448
mfcc_sma[5]_lpc1,-0.23876026397788913,0.008085857194919487
audSpec_Rfilt_sma_de[0]_skewness,0.2875413651885165,0.0013208747625157499
audSpec_Rfilt_sma_de[1]_skewness,0.2847938589323043,0.0014759219661223105
audSpec_Rfilt_sma_de[1]_kurtosis,0.2595240837861367,0.0038935618964110936
audSpec_Rfilt_sma_de[2]_kurtosis,0.25256410760000664,0.005006820474333172
audSpec_Rfilt_sma_de[3]_skewness,0.2887484595366045,0.0012575720950484257
audSpec_Rfilt_sma_de[3]_kurtosis,0.3680452736836187,3.0365389142728127e-05
audSpec_Rfilt_sma_de[4]_skewness,0.3087868146373226,0.000539137216405732
audSpec_Rfilt_sma_de[14]_skewness,0.23478010064714322,0.009240515746915538
audSpec_Rfilt_sma_de[18]_skewness,0.2541833475889799,0.004725094945913062
audSpec_Rfilt_sma_de[19]_skewness,0.2454019953413113,0.00644103991932905
audSpec_Rfilt_sma_de[20]_skewness,0.24774507616691632,0.0059360740045835
audSpec_Rfilt_sma_de[21]_maxPos,-0.2420805370751115,0.007222199083722268
audSpec_Rfilt_sma_de[22]_kurtosis,0.3475161302008872,8.785921488832377e-05
audSpec_Rfilt_sma_de[22]_meanSegLen,0.27255771325243494,0.002387655471998658
audSpec_Rfilt_sma_de[22]_minSegLen,0.3172534991577932,0.00037008814235111584
audSpec_Rfilt_sma_de[23]_kurtosis,0.359111478792961,4.864661249505324e-05
audSpec_Rfilt_sma_de[23]_meanSegLen,0.28178285413848647,0.001664713900049525
audSpec_Rfilt_sma_de[23]_minSegLen,0.3257314083599294,0.0002510813480876116
audSpec_Rfilt_sma_de[24]_kurtosis,0.3533461238677128,6.545576991512878e-05
audSpec_Rfilt_sma_de[24]_minSegLen,0.3353556694376932,0.00015940470554396693
audSpec_Rfilt_sma_de[25]_kurtosis,0.36457776021337496,3.652076233580241e-05
audSpec_Rfilt_sma_de[25]_meanSegLen,0.23883265867091724,0.008066093085818115
audSpec_Rfilt_sma_de[25]_minSegLen,0.32535608814154005,0.00025549253376532357
pcm_fftMag_spectralEntropy_sma_de_lpc0,0.24094347733601731,0.0075082911085478194
pcm_fftMag_spectralEntropy_sma_de_lpc1,-0.24254754618845473,0.007107523305925326
mfcc_sma_de[2]_kurtosis,0.28574276330764464,0.0014205944464567527
mfcc_sma_de[5]_lpc1,-0.2324967132420817,0.009966534427437123
mfcc_sma_de[6]_maxPos,-0.27855511731642985,0.00189123668423926
mfcc_sma_de[7]_quartile2,0.24345352672023785,0.006889650584954099
mfcc_sma_de[7]_skewness,-0.3012669048646307,0.00074612697332588
mfcc_sma_de[7]_risetime,-0.25661218303740774,0.004329040306213475
mfcc_sma_de[10]_iqr2-3,-0.24329539290266963,0.006927246827607536
mfcc_sma_de[13]_range,-0.23305117851557,0.00978577340909611
F0final_sma_upleveltime25,-0.2329227066144357,0.009827397726631434
jitterLocal_sma_lpc2,-0.25971427056891505,0.003866536134602292
voicingFinalUnclipped_sma_de_amean,0.32229782931110673,0.000294203699705177
voicingFinalUnclipped_sma_de_minPos,0.2551391444362353,0.004565530099053648
voicingFinalUnclipped_sma_de_linregc2,-0.30202638316932623,0.0007223209427241834
voicingFinalUnclipped_sma_de_qregc3,-0.30024367568694377,0.000779338385994905
voicingFinalUnclipped_sma_de_skewness,0.2377276697951825,0.00837245660393082
voicingFinalUnclipped_sma_de_upleveltime25,-0.25155189043697546,0.005190459691836094
jitterLocal_sma_de_skewness,0.25948038469129453,0.0038997954741171754
jitterLocal_sma_de_upleveltime50,-0.2503593404047224,0.0054145083292769965
jitterLocal_sma_de_lpc0,-0.2399076763759183,0.007777592596876864
jitterDDP_sma_de_lpc0,-0.2731162801119553,0.0023368890680043816
logHNR_sma_de_lpc0,0.24325445779148386,0.0069370087329785265
audSpec_Rfilt_sma[0]_meanPeakDist,0.23608747245670836,0.008846160621328456
audSpec_Rfilt_sma[0]_peakDistStddev,0.2532254248108985,0.004889997379187241
audSpec_Rfilt_sma[0]_stddevRisingSlope,0.29320038508629104,0.0010472831844685635
audSpec_Rfilt_sma[1]_peakDistStddev,0.23541268051973685,0.00904781086196729
audSpec_Rfilt_sma[2]_meanPeakDist,0.24548571005315956,0.00642236086055274
audSpec_Rfilt_sma[2]_peakDistStddev,0.23846327264174275,0.008167386031962555
audSpec_Rfilt_sma[3]_meanPeakDist,0.33363174963338216,0.00017311015541517362
audSpec_Rfilt_sma[3]_peakDistStddev,0.3224902918875735,0.0002916159584054524
audSpec_Rfilt_sma[3]_peakRangeAbs,0.23682538645340484,0.008630194935776788
audSpec_Rfilt_sma[3]_peakMeanRel,0.2394490886576456,0.007899527167888483
audSpec_Rfilt_sma[4]_meanPeakDist,0.2809725016905449,0.0017191399875834993
audSpec_Rfilt_sma[4]_peakDistStddev,0.26333380287446884,0.003383270667423143
audSpec_Rfilt_sma[17]_peakDistStddev,0.23535007304056554,0.009066723911685936
audSpec_Rfilt_sma[18]_meanPeakDist,0.257654099250323,0.004168449780329782
audSpec_Rfilt_sma[18]_peakDistStddev,0.24381213246424055,0.006805062136684742
audSpec_Rfilt_sma[21]_meanPeakDist,0.28458421836632564,0.0014884068126874048
audSpec_Rfilt_sma[21]_peakDistStddev,0.29000615471852126,0.0011945687979340578
audSpec_Rfilt_sma[22]_meanPeakDist,0.35459852123081476,6.139861469442893e-05
audSpec_Rfilt_sma[22]_peakDistStddev,0.32486994007439607,0.0002613129768462774
