F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.59056973,0.0,0.0,0.0,-100.0,0.22680394,0.98834115,0.008790534,0.18645833,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0015580697,0.0026253695,104.166664,166.66667,614.5833,1604.1666,0.022089258,483.39938,3.8563204,415738.6,1.6902828,4.967661,-0.0017841583,0.40653142,0.00233224,38.16063,-30.480764,34.60042,37.463528,19.52523,12.317239,-18.80034,9.056279,-0.2026666,-7.63849,-1.6050998,-12.046895,-2.9335597,-5.6085534
0.0,0.6071038,0.0,0.0,0.0,-100.0,0.28446206,0.98834115,0.010561708,0.21944444,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0027247567,0.0051561925,145.83333,229.16667,1145.8334,1781.25,0.042530168,686.45905,4.371765,587467.06,1.212022,3.637779,-0.0022776455,0.5472587,0.0030724984,36.83351,-34.31911,42.206036,33.209316,14.238056,11.556857,-25.099852,8.534892,-7.9938164,-14.917804,3.2162206,-8.314372,-1.1332568,-5.1548724
0.0,0.6227074,0.0,0.0,0.0,-100.0,0.39431882,0.98834115,0.013367941,0.26493058,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0028222085,0.017624194,697.9167,791.6667,1708.3334,2135.4167,0.089057446,1164.2592,4.8418593,609226.44,0.46548966,3.5376759,-0.0032955173,0.8733344,0.0056698974,34.452057,-44.21837,51.290806,22.341904,7.638256,7.3736196,-32.396496,18.967043,-9.123985,-15.3008585,6.3690104,-5.571012,3.454153,-5.9441266
0.0,0.6636026,0.0,0.0,0.0,-100.0,0.49149024,0.98834115,0.016310658,0.29965279,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0017486302,0.029900216,1260.4166,1500.0,2250.0,2666.6667,0.113596626,1739.805,5.201342,589003.94,0.13259892,3.4647186,-0.0035076465,1.2058183,0.008865009,25.682465,-50.29065,53.153736,8.359604,1.3089958,3.8399665,-33.557106,25.209951,-5.724348,-14.402709,4.155107,-4.2537885,5.563767,-5.6372643
0.0,0.6766642,0.0,0.0,0.0,-100.0,0.5978509,1.0774018,0.019641006,0.31736112,0.11211583,0.24268477,0.37360778,0.5096979,0.6758936,0.791028,0.8819976,0.97704726,1.0071701,1.0474075,1.1041006,1.2229123,1.2623057,1.3234816,1.4902655,1.5796448,1.6579943,1.6902305,1.7331343,1.7217234,1.6170202,1.4388102,1.1647543,0.9662836,0.7859481,0.63518333,0.00045577995,0.050731678,1895.8334,2166.6667,2541.6667,3083.3333,0.15351269,2212.4666,5.445261,415914.28,0.022835365,3.995927,-0.0044118143,1.4731172,0.013278131,18.328829,-60.018024,51.889313,-4.7896037,-2.7238617,4.5536623,-28.990992,29.673895,-6.698379,-6.2352805,1.1090174,-9.943843,7.901509,-4.889634
0.0,0.6977318,0.0,0.0,0.0,-66.84806,0.66152555,1.2466602,0.024426252,0.32152778,0.08312797,0.19434889,0.30116984,0.42888245,0.65455955,0.8278119,0.9255209,1.0833533,1.0624737,1.0717492,1.08977,1.3250408,1.2900963,1.3679198,1.8393501,1.9939531,2.1534643,2.1377897,2.3079882,2.3651924,2.165045,1.855154,1.29658,1.0572823,0.85063976,0.68490285,0.00022338738,0.06717177,2052.0833,2520.8333,3062.5,3416.6667,0.16472133,2539.8499,5.6694226,430434.75,-0.027332336,2.833416,-0.0046640635,1.5991985,0.019449709,10.670746,-64.608055,51.861553,-16.14284,-6.247229,5.890728,-28.544714,23.063143,-16.617651,-7.890495,-0.7351449,-13.6336355,5.5027885,-5.595679
407.29333,0.7113833,0.0,0.0,0.39089802,-34.28507,0.76810837,1.4885217,0.030396888,0.3170139,0.050389305,0.14124352,0.22576447,0.33635554,0.6253498,0.8332801,0.93824047,1.2192075,1.1243509,1.1345186,1.0731411,1.4263444,1.2755882,1.3721285,2.3859167,2.5983498,2.8322656,2.7536933,3.23864,3.299175,2.8861268,2.531783,1.4943036,1.1947727,0.9495635,0.7610712,0.00019551137,0.12473824,2197.9167,2687.5,3197.9167,3437.5,0.20787613,2683.004,5.5679536,384244.47,-0.18000007,2.80591,-0.007617568,1.6509434,0.035603385,7.398524,-65.51217,54.705105,-17.62194,-5.5646477,7.2279954,-30.128897,18.1856,-19.683767,-5.0518017,1.3508348,-15.478969,3.7324426,-0.6721287
408.37778,0.71287996,0.08852309,0.15353687,0.4878786,-0.6150114,0.89828414,1.7044972,0.040715817,0.30763888,0.033852708,0.11728688,0.19431597,0.28724506,0.61367565,0.7934403,0.91679716,1.34902,1.1732653,1.2334441,1.1225439,1.4690489,1.2485214,1.4031501,2.978646,3.1412935,3.4443333,3.2071369,4.036995,3.9775066,3.3977458,3.1173067,1.7331842,1.3736442,1.085779,0.86774665,0.00020300318,0.22381186,2156.25,2656.25,3145.8333,3302.0833,0.28596,2646.7449,5.4425454,349695.25,-0.010377228,3.02985,-0.015875814,1.6396519,0.06346256,4.102701,-67.482056,50.087605,-16.286194,-11.083692,6.1838784,-27.95227,17.204079,-19.312933,-9.281513,2.5498316,-14.941493,2.0915158,-0.26751196
409.30627,0.6897966,0.08852309,0.15353687,0.5716649,-33.76695,1.0080991,1.8536342,0.0495186,0.29895833,0.030269489,0.109639704,0.18508093,0.26855448,0.6229111,0.72510695,0.92255473,1.4604616,1.2362787,1.390092,1.2993684,1.4938046,1.3245765,1.616231,3.5661442,3.5598361,3.8704283,3.4518168,4.4142594,4.136827,3.5595791,3.3465605,1.9358187,1.5232967,1.1951513,0.9498391,0.00017132128,0.34659764,2083.3333,2385.4167,2729.1667,2989.5833,0.3344704,2421.96,5.155128,245186.02,0.526202,4.7572165,-0.027918344,1.5652438,0.091102004,5.7414355,-75.4352,47.050823,-9.378351,-8.240093,9.718547,-19.016138,18.984842,-17.885519,-5.545444,7.452389,-13.382404,1.8111311,0.14372285
0.0,0.6692052,0.0,0.0,0.0,-66.32995,1.0049454,1.937102,0.05183339,0.29409721,0.03278133,0.10353959,0.17663348,0.2605995,0.6211558,0.6894869,1.005736,1.5766555,1.3694863,1.6521845,1.595122,1.527213,1.5163358,2.0777366,4.078607,3.8123353,4.041513,3.4030101,4.120087,3.7737188,3.4577045,3.1852386,2.181433,1.7131399,1.3367082,1.0564919,0.00014055394,0.35226938,2000.0,2114.5833,2333.3333,2687.5,0.35183588,2201.5815,4.9849663,170376.48,1.0323113,6.377032,-0.03069825,1.4924355,0.09263697,3.5693235,-75.90677,35.53926,-3.1270483,-11.905789,9.1325445,-11.523517,16.67636,-19.585144,-7.9615235,13.094333,-9.815036,0.14384143,-5.352259
