Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.22680394,-5.7418427,20.72931,-0.031156378,0.04134885,0.027945155,38.16063,-30.480764,34.60042,37.463528,0.0,0.0,0.0,0.0,0.0,0.0,991.0076,862.49097,-201.0,1877.9609,1046.0865,-201.0,2818.5984,898.4803,-201.0
0.28446206,-3.6928575,15.311778,-0.02653612,0.040970597,0.053810757,36.83351,-34.31911,42.206036,33.209316,0.0,0.0,0.0,0.0,0.0,0.0,1051.999,822.24835,-201.0,1980.5933,1072.8916,-201.0,2926.618,840.61835,-201.0
0.39431882,2.2827365,10.384235,-0.01347056,0.03678373,0.112668455,34.452057,-44.21837,51.290806,22.341904,0.0,0.0,0.0,0.0,0.0,0.0,986.1174,857.35724,-201.0,1941.3622,1173.4923,-201.0,2880.1504,944.48517,-201.0
0.49149024,8.9298935,7.363606,0.010246647,0.029857049,0.1437049,25.682465,-50.29065,53.153736,8.359604,0.0,0.0,0.0,0.0,0.0,0.0,900.04395,983.1497,-201.0,2049.069,1185.3549,-201.0,3042.3196,861.4378,-201.0
0.5978509,16.077362,3.048897,0.029489696,0.026066119,0.19418597,18.328829,-60.018024,51.889313,-4.7896037,0.0,0.0,0.0,0.0,0.0,0.0,786.79803,1238.9918,-201.0,1956.6576,1237.779,-201.0,2927.8496,1058.8297,-201.0
0.66152555,20.246012,-3.3489926,0.051529836,0.025952777,0.20835902,10.670746,-64.608055,51.861553,-16.14284,0.0,0.0,0.0,0.0,0.0,0.0,648.7458,1163.0385,-201.0,1955.1753,1206.5995,-124.28818,2922.581,1086.5768,-127.65381
0.76810837,23.017004,-7.8881354,0.056125212,0.029803833,0.2629452,7.398524,-65.51217,54.705105,-17.62194,55.674126,0.0,3.1692452,-3.4685378,-14.962364,-9.913918,509.00766,717.3645,0.0,1763.8154,1093.5459,-52.900787,2676.1401,1142.2489,-50.926983
0.89828414,24.182783,-7.7083683,0.06508676,0.031832676,0.36171103,4.102701,-67.482056,50.087605,-16.286194,55.708324,0.034326687,3.6668918,-2.7476819,-15.546692,-6.972403,598.88556,685.074,0.0,1770.7303,1199.1509,23.869642,2611.4353,1166.2935,20.63479
1.0080991,26.284632,-7.237263,0.054923583,0.039650124,0.42306745,5.7414355,-75.4352,47.050823,-9.378351,55.73172,0.034326687,3.5719328,-1.6553913,-16.366829,-8.553843,924.68964,741.65497,0.0,1945.0703,1172.5819,-52.842182,2762.1262,1091.3368,-52.711407
1.0049454,25.876589,-5.14573,0.057152126,0.03899359,0.44502822,3.5693235,-75.90677,35.53926,-3.1270483,0.0,0.0,0.0,0.0,0.0,0.0,1263.6226,1024.9874,-201.0,2164.2583,1250.9991,-124.229576,2997.49,1012.7187,-129.43823
0.92547995,25.975525,-3.6275423,0.058870587,0.03738859,0.38393068,7.095423,-77.64006,39.737686,-7.3332877,0.0,0.0,0.0,0.0,0.0,0.0,1341.3068,931.6009,-201.0,2118.602,1664.5947,-201.0,2964.9866,969.34174,-201.0
0.80904907,22.417025,-1.8720373,0.07344795,0.030382581,0.3724606,4.708822,-69.789116,33.9298,-13.256562,0.0,0.0,0.0,0.0,0.0,0.0,1323.7151,976.60205,-201.0,2126.6292,1638.6713,-201.0,3005.5125,868.3768,-201.0
0.73687553,20.662674,-0.4397234,0.07863168,0.02774919,0.30789965,8.636928,-71.15829,40.753826,-21.610178,0.0,0.0,0.0,0.0,0.0,0.0,1300.3851,998.71686,-201.0,2136.4177,1604.2191,-201.0,2984.9338,849.0296,-201.0
0.6787507,18.842606,-2.224542,0.082748055,0.031185115,0.27071837,8.143083,-70.329994,39.077213,-21.08511,0.0,0.0,0.0,0.0,0.0,0.0,1246.1069,956.032,-201.0,2239.658,1111.4565,-201.0,3032.6328,1016.08136,-201.0
0.58966964,18.682367,-1.441237,0.07216319,0.03217281,0.22311814,11.625542,-74.2163,40.570293,-22.234991,0.0,0.0,0.0,0.0,0.0,0.0,1254.8774,1022.30634,-201.0,2148.4553,1593.2246,-201.0,2772.6697,1299.1315,-201.0
0.49380994,17.28412,0.0460155,0.06650805,0.035329655,0.18694265,14.570209,-70.85781,36.42409,-15.903107,0.0,0.0,0.0,0.0,0.0,0.0,1129.3981,1080.8239,-201.0,1973.3237,1648.3075,-201.0,2606.5222,1397.0396,-201.0
0.40117478,10.135186,5.4786067,0.047714755,0.02834562,0.16936933,23.331724,-55.440807,29.615652,-9.945638,0.0,0.0,0.0,0.0,0.0,0.0,1066.2979,1106.3881,-139.743,1954.3759,1550.5723,-147.71657,2742.6086,1060.3661,-148.88785
0.5484399,-0.772213,16.100874,0.041420188,0.010805893,0.46065962,34.56503,-31.33755,21.68496,-3.0710776,30.465668,0.0,0.0,5.9922867,-1.1325157,33.248276,952.1662,1280.6205,-77.86025,1759.2286,1369.2643,-86.65049,2706.46,913.39404,-95.47812
0.7354145,-12.308042,28.307745,0.027653322,-0.007674999,0.8546858,45.069042,-9.549625,12.065064,-1.2705613,30.385386,0.0,0.0,7.1671014,-2.2768314,31.782297,995.27716,1452.2015,-15.054684,1786.9263,1774.695,-30.833115,2826.8845,942.9516,-41.023216
1.0004116,-16.997164,36.299862,0.026497088,-0.025458848,1.0811516,51.01604,0.4604168,6.7611375,-3.213932,30.243383,0.0,0.0,9.105631,-4.229167,28.743757,788.75275,1569.602,-12.362727,1518.063,1749.7228,-22.999756,2707.2,1021.39404,-37.813416
1.0956707,-17.259298,36.96139,0.03291074,-0.028475745,0.9292629,53.167767,2.204839,4.6949162,-3.5520916,30.204382,0.0,1.9470725,10.2210455,-4.9521585,26.182726,589.2761,1430.8995,-10.578051,1459.7578,1414.3326,-22.7494,2764.0527,1039.5712,-35.494667
1.1243939,-16.508514,34.69501,0.05009508,-0.03207964,0.6471844,53.04294,0.9657523,3.2903767,-6.714352,30.204355,0.018756967,1.4210199,10.601464,-4.242184,24.386421,373.02957,1360.6582,-9.941901,1224.0085,966.60504,-14.977305,2621.8782,887.2771,-34.328323
