pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
1.4851594e-09,0.13175984,21.35758,-55.018864,41.538517,20.721895,10.714008,10.161457,-32.985867,14.034462,-17.027102,-7.972654,0.5066572,-15.683307,0.4164602,0.66329056,0.7542798,0.97593135,1.2397009,1.3997165,1.8236462,2.6228664,0.09833333,0.42960846,0.0,0.0
4.3846114e-08,0.2755557,18.141975,-57.66678,48.063427,13.329154,8.576922,4.6990943,-37.6131,15.587483,-19.784605,-12.294583,1.2678152,-10.535085,0.47415105,0.6789997,0.7699166,1.019055,1.2538048,1.3985556,1.7390124,2.596118,0.125,0.41700456,0.0,0.0
7.942526e-08,0.41023004,10.368114,-61.877228,50.644886,3.8711364,2.5581467,-1.9274858,-39.913338,21.341825,-15.634917,-14.046208,2.3923738,-5.916569,0.5570223,0.70352435,0.8475626,1.0964731,1.291278,1.4151627,1.7821583,2.599932,0.17750001,0.38007092,0.0,0.0
1.396199e-07,0.55096364,-1.1049563,-65.50524,48.22649,-7.051539,-3.5449924,-3.8261023,-35.371613,25.276667,-11.622973,-13.510689,0.5859049,-6.2550607,0.64881206,0.73931545,0.93152577,1.1545281,1.3397444,1.4615823,1.9626236,2.6281643,0.23416667,0.323604,0.0,0.0
1.3282283e-07,0.5418203,-10.934387,-69.0738,44.14237,-13.746831,-7.482119,-0.3157827,-28.235907,24.690424,-9.858789,-8.348362,0.49049553,-9.2524185,0.68223,0.7850848,1.0049483,1.1978756,1.3732306,1.4958459,2.099823,2.6512861,0.29166666,0.28167966,0.0,0.0
1.1175458e-07,0.5018799,-17.507301,-71.321815,46.381367,-22.436768,-8.151131,2.8717668,-28.327087,20.564352,-15.804307,-6.576279,-0.6749623,-14.150231,0.7088514,0.8263698,1.0234632,1.2099701,1.3805996,1.4839176,2.0849354,2.6445901,0.33333334,0.3208479,0.0,0.0
9.586032e-08,0.4846054,-17.611895,-75.07073,51.94218,-24.731483,-4.488871,3.559831,-28.945953,19.648535,-18.732298,-2.3335752,1.7550088,-13.446706,0.7150319,0.8340679,1.0104777,1.1960173,1.3700804,1.4524931,1.9315792,2.5843709,0.3525,0.40066168,0.0,0.0
9.4170765e-08,0.4821461,-17.195082,-82.27811,51.06122,-24.775694,-6.7718673,5.665113,-25.646576,22.236841,-20.509819,-3.0025184,3.2185833,-13.59065,0.72927874,0.82076496,0.98698896,1.1566826,1.3512115,1.4185292,1.8562899,2.56962,0.33833334,0.42262807,0.0,0.0
8.5457714e-08,0.4513005,-14.748128,-92.76528,47.605606,-21.712118,-5.5178704,6.916836,-18.87506,24.379068,-25.615595,1.2844545,6.6690545,-10.471022,0.72310287,0.80050343,0.9439984,1.1013113,1.3137115,1.410231,1.7072917,2.5002463,0.30916667,0.40194616,0.0,0.0
6.0139264e-06,1.0603331,-14.156819,-89.6402,42.487614,-14.192418,-7.3313766,9.815818,-14.2432375,22.402555,-26.538818,-0.72076017,13.475502,-7.8047824,0.6887307,0.79704636,0.9168892,1.1155878,1.3099276,1.4455103,1.8528423,2.560026,0.285,0.34059095,0.0,0.0
