F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
25.56309,0.14894798,23.313953,24.820288,27.318562,4.004608,242.8119,584.55194,55.00303,80.76061,0.3952944,0.91407955,0.054973304,0.30668148,0.6827122,0.6277389,8.271126,5.408065,6.532221,4.2575374,0.22399835,1.204874,38.485214,0.34937352,-9.25643,-2.5134156,24.14099,0.84462297,-5.1131444,-3.055213,0.023563659,1.9510615,1.3017427,0.8102405,5.9223766,0.36693677,0.29662699,23.79531,32.240715,0.269106,577.15234,0.37128532,1395.6947,0.17299376,-116.22469,-0.7834808,1669.5712,0.17984246,1117.2394,0.31354576,-123.639175,-0.6626763,2749.6438,0.11121142,1026.171,0.30045557,-126.72364,-0.6175413,-20.684187,-0.43663347,32.460163,0.2834818,0.014051454,1.3838958,-0.021197148,-0.8422089,0.35256922,0.7857426,48.25502,0.18770164,5.0528274,3.0940874,24.271368,0.89710635,-0.17265962,-93.43767,-4.7804136,15.104109,0.04101217,0.010365926,0.11709408,3.1815586,2.403663,0.17777778,0.1544056,0.22284552,0.3060887,-23.093843
26.648153,0.16649607,24.108437,25.783985,28.02982,3.921383,261.6679,450.00623,57.995697,95.124245,0.40410376,0.8010157,0.10621688,0.3288765,0.66864175,0.5624249,7.6522307,4.3741918,4.955658,3.3454895,0.25293976,1.1243454,41.289845,0.3104725,-2.7308645,-8.858036,22.804241,0.8584611,-3.530106,-4.560539,0.019667178,1.1863877,1.3359381,0.9500713,6.119284,0.40588883,-2.801625,-3.477884,36.394386,0.27139288,606.51733,0.36650804,1433.2782,0.16927062,-84.12751,-1.1002522,1722.8943,0.1505001,1191.9365,0.27319944,-95.63303,-0.85144436,2818.8315,0.105290644,1106.2402,0.27727112,-99.977936,-0.77631056,-24.385271,-0.43770498,35.684013,0.28091127,0.043873552,0.40873042,-0.023608837,-0.8001479,0.36022222,0.8294013,47.640354,0.1848548,8.788399,1.9726077,19.400684,0.9978305,0.37369758,41.434113,-5.830675,15.699919,0.05122692,0.008072948,0.09151585,3.3451693,2.7502341,0.20959182,0.18910411,0.13845071,0.15512055,-21.288588
26.325623,0.17202215,24.264437,25.385235,27.36791,3.1034737,89.98477,146.96466,30.19371,29.049093,0.3455953,0.49548125,0.17260726,0.32788706,0.5109276,0.33832037,4.238778,2.4948523,3.159919,2.0958242,0.17291689,0.74490744,44.182995,0.21943603,-6.7821574,-3.3000166,30.035849,0.5138363,-4.960045,-2.702352,0.018594552,1.0651932,1.0617561,0.8017359,6.123635,0.3812297,-0.97086734,-4.5999675,35.575127,0.26505834,554.1118,0.30183956,1382.3826,0.15845564,-115.69625,-0.7984629,1680.4973,0.13992493,1220.9363,0.2693201,-126.19087,-0.6351192,2774.9255,0.08312457,1074.9967,0.27720076,-128.79422,-0.59796304,-25.612497,-0.36809042,35.339264,0.28362814,0.037974756,0.5004334,-0.029278185,-0.5512172,0.2389997,0.4812806,49.060658,0.15671586,10.131116,1.677926,23.945696,0.63234484,-5.5704927,-2.2712526,-10.0269,17.228073,0.033417348,-0.0032407776,0.12107633,4.0071063,2.470844,0.16975999,0.14117485,0.21813007,0.3144161,-26.605478
26.100046,0.27413633,23.144323,24.535873,26.113804,2.9694805,315.97217,329.06314,173.17339,322.26508,0.21438597,0.6895499,0.061683387,0.19293885,0.34262282,0.28093943,3.5494645,2.2327852,2.7831435,2.0481186,0.10203841,0.9207096,38.605022,0.29056957,-7.347546,-3.1128438,33.010807,0.44427067,-2.4337287,-5.9751678,0.02300917,0.88118714,1.3417941,0.7555933,5.583068,0.37918633,-1.4489496,-3.6595888,29.222193,0.38006356,569.64325,0.36037457,1335.9144,0.18903895,-121.88018,-0.7231045,1704.9393,0.14411142,1203.034,0.2822396,-129.33932,-0.59873325,2765.0762,0.083026,1005.68115,0.30533096,-130.16423,-0.58643365,-24.715433,-0.514728,33.788315,0.36883688,0.015988274,1.4634738,-0.018682085,-1.0100224,0.16173796,0.51269925,44.054256,0.23954141,10.607889,1.685969,33.33586,0.4202165,-1.4672937,-10.318716,-6.7219105,14.875462,0.03528715,0.007924417,0.05641561,3.7229118,2.967359,0.1364375,0.11765069,0.192953,0.2830313,-30.082546
27.547781,0.24011937,23.96643,25.016731,27.326626,3.3601952,209.06732,416.97824,36.077515,29.286617,0.32977757,0.51474226,0.16880669,0.30235392,0.48389482,0.31508815,3.9026878,2.0980532,2.9173572,1.9708945,0.14753896,0.6936296,43.362026,0.23582277,-8.3548765,-2.7419996,28.477743,0.64064676,-6.7613635,-2.0225496,0.017076842,0.8337686,1.0847424,0.79294133,6.379586,0.36133316,0.87859756,6.677482,32.70501,0.30496967,575.97784,0.31237346,1397.8055,0.17268749,-101.163185,-0.90370333,1664.721,0.13302866,1202.4789,0.24913296,-109.14689,-0.7439655,2749.71,0.08152415,1010.90027,0.30638692,-112.18003,-0.69552237,-22.550861,-0.4558525,32.542637,0.28773656,0.032253027,0.61301863,-0.025146883,-0.60124224,0.18848465,0.48783118,47.648827,0.1542564,3.6694422,5.4116106,22.684362,0.8410102,-6.2811418,-2.1119256,-8.363209,15.608004,0.030224256,-0.002516107,0.09982836,4.3677206,2.9608006,0.17197183,0.16721094,0.15205881,0.19242689,-28.307756
30.334993,0.07108225,28.648603,30.335733,32.231808,3.5832043,130.89978,214.51933,18.398336,12.737932,0.6435879,0.6360567,0.23203856,0.62228966,1.0378623,0.80582374,7.1722565,4.137475,5.627983,2.8083744,0.365611,0.82591164,46.626446,0.22764911,9.872137,2.313899,17.987284,1.0813363,-8.087534,-2.0158322,0.013563071,1.4889169,0.8611342,0.9390217,9.387876,0.20803906,5.140283,1.3725878,42.80984,0.18671682,646.8149,0.30123928,1436.4465,0.14194639,-55.82322,-1.3614873,1786.1167,0.15220746,1242.0022,0.22385532,-74.278114,-0.8764547,2931.7173,0.08059935,1136.6796,0.24332026,-80.72585,-0.75460553,-28.491114,-0.3094473,42.12343,0.19451258,0.034074146,0.66967285,-0.037624624,-0.54090804,0.4435477,0.65222144,50.296597,0.15089473,19.037191,0.7061545,14.962045,1.2838593,-6.3597536,-2.4673443,-5.311784,13.819565,0.04069959,0.006122419,0.08220814,3.1743014,1.2369173,0.62446153,0.43954882,0.18224138,0.18173535,-16.659134
24.286528,0.21845967,20.660198,22.558039,26.87984,6.2196426,201.2392,472.01108,35.376225,44.854305,0.39219683,1.0976287,0.031510733,0.2228853,0.72363025,0.69211954,6.65849,4.8267503,6.1558237,4.7470355,0.2200085,1.3063108,40.012672,0.35111737,-1.7106962,-10.812224,21.633402,0.8809009,-3.95539,-4.4316773,0.01906048,1.2532774,1.3047963,0.8087508,5.382625,0.48961374,5.867215,1.1767008,36.65045,0.27635032,611.5657,0.3534005,1412.7928,0.154474,-96.10716,-0.9754333,1707.4807,0.16630113,1144.7715,0.2836028,-104.88806,-0.80455595,2804.1306,0.097203694,1050.0996,0.32899362,-108.908714,-0.73933613,-23.06497,-0.37784788,34.722416,0.24428827,0.024250265,1.3242075,-0.027751708,-0.72204834,0.34092712,0.88661313,49.076958,0.17065811,5.8636928,2.788352,20.233456,1.0141176,-3.4239237,-5.676238,-8.396273,16.422012,0.035843365,0.010850958,0.072136186,2.26531,1.9023829,0.27909088,0.23287006,0.23291665,0.40564224,-20.819662
23.455082,0.0966224,22.103033,23.160885,24.681648,2.5786152,119.08449,213.68837,19.879475,25.350147,0.2706005,0.70505697,0.091711916,0.22732638,0.42605898,0.33434707,4.580044,2.9350224,3.2824736,2.0575762,0.10768508,0.9526513,42.047325,0.26274166,-7.0341406,-3.203365,32.773643,0.55227095,-4.059095,-4.0753274,0.016840653,1.3734679,1.1655397,0.8151622,5.6117916,0.3138413,7.7923465,0.6621081,38.09919,0.23390752,618.64246,0.3651838,1396.4785,0.16113786,-98.2413,-0.9295609,1725.9767,0.16474713,1124.2239,0.2897156,-107.47264,-0.7685014,2818.8943,0.09709903,1019.7944,0.3335089,-110.26375,-0.7237031,-24.092539,-0.33962268,34.51651,0.2632805,0.011552282,2.103487,-0.023412459,-0.79790884,0.15671362,0.63821024,48.150867,0.18381003,7.597813,2.016109,29.803991,0.666503,-0.19348982,-93.53689,-5.785776,12.997178,0.028859263,0.00554479,0.049453996,3.5212555,2.0091324,0.26218182,0.23084186,0.22759615,0.37875682,-28.487587
34.202057,0.14266326,31.290733,33.449562,36.640915,5.3501816,216.16127,415.01755,99.811104,273.5342,0.15992872,0.8042989,0.043701306,0.14090449,0.24402426,0.20032296,2.8069208,1.7733128,2.1106427,1.3610376,0.060349524,1.0020717,36.225376,0.42681468,-4.443295,-5.280842,22.173798,0.9062505,-9.944691,-1.4957693,0.02642705,1.2478446,1.3550519,0.8650679,8.483,0.4002956,7.183049,1.3128089,32.622196,0.3831329,703.8063,0.28813004,1361.0527,0.18719868,-101.17255,-0.8604052,1832.5708,0.12841019,1109.0186,0.3379465,-107.386475,-0.72366786,2894.327,0.08004759,991.6646,0.35285437,-109.63977,-0.6876539,-21.3605,-0.59466827,31.546604,0.43373752,0.059522744,0.333114,-0.020417796,-0.9075638,0.08157492,0.7751483,44.198063,0.24200973,3.2374907,6.770184,21.084991,0.97472316,-10.698648,-1.2578821,-6.3974257,14.867469,0.056712408,0.009229039,0.033505008,3.2765682,3.8204188,0.13621469,0.097811185,0.11138555,0.119036816,-35.83557
34.892536,0.10523812,32.834503,34.517456,36.82578,3.9912758,173.83406,350.06033,113.783875,153.40819,0.14655013,0.70647216,0.049421474,0.1325198,0.22464396,0.17522249,2.4869254,1.3473058,1.7837737,1.0958884,0.054312173,0.8862766,37.32502,0.3657506,-4.0218225,-5.8553843,20.04497,0.89457285,-3.059169,-4.4460964,0.028308958,1.3434197,1.2825094,0.8208547,9.100835,0.33274114,8.751644,1.0485258,30.632359,0.39577547,771.4635,0.2904566,1392.0875,0.19374253,-98.799866,-0.8461773,1853.036,0.13908836,1165.2034,0.28085327,-101.36944,-0.75357556,2935.028,0.0918236,1080.9463,0.3319166,-105.00917,-0.69664705,-21.606844,-0.6025574,34.02783,0.38595343,0.047176767,0.50624746,-0.010055332,-1.6995202,0.070217684,0.7058885,43.763535,0.21770953,3.169742,6.8829327,18.870821,0.96091884,-2.4168766,-5.360401,-7.104445,16.457605,0.052491672,0.013163558,0.030728517,4.547532,3.6842105,0.15236025,0.110832624,0.10648648,0.13321829,-36.318
