pcm_zcr_sma_upleveltime90,audSpec_Rfilt_sma[3]_range,audSpec_Rfilt_sma[3]_skewness,audSpec_Rfilt_sma[3]_kurtosis,audSpec_Rfilt_sma[3]_meanSegLen,audSpec_Rfilt_sma[3]_minSegLen,audSpec_Rfilt_sma[4]_skewness,audSpec_Rfilt_sma[21]_skewness,audSpec_Rfilt_sma[21]_kurtosis,audSpec_Rfilt_sma[21]_meanSegLen,audSpec_Rfilt_sma[21]_minSegLen,audSpec_Rfilt_sma[22]_skewness,audSpec_Rfilt_sma[22]_kurtosis,audSpec_Rfilt_sma[22]_meanSegLen,audSpec_Rfilt_sma[22]_maxSegLen,audSpec_Rfilt_sma[22]_minSegLen,audSpec_Rfilt_sma[22]_segLenStddev,audSpec_Rfilt_sma[23]_skewness,audSpec_Rfilt_sma[23]_kurtosis,audSpec_Rfilt_sma[23]_meanSegLen,audSpec_Rfilt_sma[23]_minSegLen,audSpec_Rfilt_sma[23]_segLenStddev,audSpec_Rfilt_sma[24]_skewness,audSpec_Rfilt_sma[24]_kurtosis,audSpec_Rfilt_sma[24]_meanSegLen,audSpec_Rfilt_sma[24]_minSegLen,audSpec_Rfilt_sma[25]_skewness,audSpec_Rfilt_sma[25]_kurtosis,audSpec_Rfilt_sma[25]_meanSegLen,audSpec_Rfilt_sma[25]_minSegLen,pcm_fftMag_spectralRollOff50.0_sma_maxPos,pcm_fftMag_spectralEntropy_sma_lpc1,mfcc_sma[5]_lpc1,audSpec_Rfilt_sma_de[0]_skewness,audSpec_Rfilt_sma_de[1]_skewness,audSpec_Rfilt_sma_de[1]_kurtosis,audSpec_Rfilt_sma_de[2]_kurtosis,audSpec_Rfilt_sma_de[3]_skewness,audSpec_Rfilt_sma_de[3]_kurtosis,audSpec_Rfilt_sma_de[4]_skewness,audSpec_Rfilt_sma_de[14]_skewness,audSpec_Rfilt_sma_de[18]_skewness,audSpec_Rfilt_sma_de[19]_skewness,audSpec_Rfilt_sma_de[20]_skewness,audSpec_Rfilt_sma_de[21]_maxPos,audSpec_Rfilt_sma_de[22]_kurtosis,audSpec_Rfilt_sma_de[22]_meanSegLen,audSpec_Rfilt_sma_de[22]_minSegLen,audSpec_Rfilt_sma_de[23]_kurtosis,audSpec_Rfilt_sma_de[23]_meanSegLen,audSpec_Rfilt_sma_de[23]_minSegLen,audSpec_Rfilt_sma_de[24]_kurtosis,audSpec_Rfilt_sma_de[24]_minSegLen,audSpec_Rfilt_sma_de[25]_kurtosis,audSpec_Rfilt_sma_de[25]_meanSegLen,audSpec_Rfilt_sma_de[25]_minSegLen,pcm_fftMag_spectralEntropy_sma_de_lpc0,pcm_fftMag_spectralEntropy_sma_de_lpc1,mfcc_sma_de[2]_kurtosis,mfcc_sma_de[5]_lpc1,mfcc_sma_de[6]_maxPos,mfcc_sma_de[7]_quartile2,mfcc_sma_de[7]_skewness,mfcc_sma_de[7]_risetime,mfcc_sma_de[10]_iqr2-3,mfcc_sma_de[13]_range,F0final_sma_upleveltime25,jitterLocal_sma_lpc2,voicingFinalUnclipped_sma_de_amean,voicingFinalUnclipped_sma_de_minPos,voicingFinalUnclipped_sma_de_linregc2,voicingFinalUnclipped_sma_de_qregc3,voicingFinalUnclipped_sma_de_skewness,voicingFinalUnclipped_sma_de_upleveltime25,jitterLocal_sma_de_skewness,jitterLocal_sma_de_upleveltime50,jitterLocal_sma_de_lpc0,jitterDDP_sma_de_lpc0,logHNR_sma_de_lpc0,audSpec_Rfilt_sma[0]_meanPeakDist,audSpec_Rfilt_sma[0]_peakDistStddev,audSpec_Rfilt_sma[0]_stddevRisingSlope,audSpec_Rfilt_sma[1]_peakDistStddev,audSpec_Rfilt_sma[2]_meanPeakDist,audSpec_Rfilt_sma[2]_peakDistStddev,audSpec_Rfilt_sma[3]_meanPeakDist,audSpec_Rfilt_sma[3]_peakDistStddev,audSpec_Rfilt_sma[3]_peakRangeAbs,audSpec_Rfilt_sma[3]_peakMeanRel,audSpec_Rfilt_sma[4]_meanPeakDist,audSpec_Rfilt_sma[4]_peakDistStddev,audSpec_Rfilt_sma[17]_peakDistStddev,audSpec_Rfilt_sma[18]_meanPeakDist,audSpec_Rfilt_sma[18]_peakDistStddev,audSpec_Rfilt_sma[21]_meanPeakDist,audSpec_Rfilt_sma[21]_peakDistStddev,audSpec_Rfilt_sma[22]_meanPeakDist,audSpec_Rfilt_sma[22]_peakDistStddev,audSpec_Rfilt_sma[22]_peakRangeAbs,audSpec_Rfilt_sma[23]_meanPeakDist,audSpec_Rfilt_sma[23]_peakDistStddev,audSpec_Rfilt_sma[23]_peakRangeAbs,audSpec_Rfilt_sma[24]_meanPeakDist,audSpec_Rfilt_sma[24]_peakDistStddev,audSpec_Rfilt_sma[25]_meanPeakDist,audSpec_Rfilt_sma[25]_peakDistStddev,pcm_fftMag_spectralSkewness_sma_peakRangeRel,mfcc_sma[1]_meanPeakDist,mfcc_sma[1]_peakDistStddev,mfcc_sma[2]_meanPeakDist,mfcc_sma[2]_peakDistStddev,mfcc_sma[3]_peakDistStddev,mfcc_sma[5]_peakRangeRel,audSpec_Rfilt_sma_de[0]_peakDistStddev,audSpec_Rfilt_sma_de[1]_peakDistStddev,audSpec_Rfilt_sma_de[2]_meanPeakDist,audSpec_Rfilt_sma_de[2]_peakDistStddev,audSpec_Rfilt_sma_de[3]_meanPeakDist,audSpec_Rfilt_sma_de[3]_peakDistStddev,audSpec_Rfilt_sma_de[4]_meanPeakDist,audSpec_Rfilt_sma_de[4]_peakDistStddev,audSpec_Rfilt_sma_de[4]_minRangeRel,audSpec_Rfilt_sma_de[5]_peakDistStddev,audSpec_Rfilt_sma_de[17]_peakDistStddev,audSpec_Rfilt_sma_de[18]_meanPeakDist,audSpec_Rfilt_sma_de[18]_peakDistStddev,audSpec_Rfilt_sma_de[19]_meanPeakDist,audSpec_Rfilt_sma_de[20]_peakDistStddev,audSpec_Rfilt_sma_de[22]_meanPeakDist,audSpec_Rfilt_sma_de[22]_peakDistStddev,audSpec_Rfilt_sma_de[23]_meanPeakDist,audSpec_Rfilt_sma_de[23]_peakDistStddev,audSpec_Rfilt_sma_de[24]_meanPeakDist,audSpec_Rfilt_sma_de[24]_peakDistStddev,audSpec_Rfilt_sma_de[25]_meanPeakDist,audSpec_Rfilt_sma_de[25]_peakDistStddev,mfcc_sma_de[9]_meanFallingSlope,mfcc_sma_de[10]_meanRisingSlope,mfcc_sma_de[10]_meanFallingSlope,mfcc_sma_de[10]_stddevFallingSlope,mfcc_sma_de[11]_peakRangeAbs,mfcc_sma_de[13]_peakMeanAbs,mfcc_sma_de[13]_peakMeanMeanDist,mfcc_sma_de[1]_kurtosis.1,mfcc_sma_de[2]_kurtosis.1,mfcc_sma_de[7]_skewness.1,mfcc_sma_de[7]_quartile2.1,lspFreq_sma_de[1]_skewness,lspFreq_sma_de[1]_kurtosis,lspFreq_sma_de[3]_amean,lspFreq_sma_de[4]_linregc1
0.016784284,37.261734,6.9023433,76.54532,3.1679997,1.5,7.6916914,3.317795,18.771128,1.4128572,0.55,3.3291166,18.98307,1.4045945,3.56,0.53,0.69891644,3.2492573,18.189997,1.2989999,0.53,0.57864845,3.221234,17.926973,1.267317,0.53,3.19674,17.725544,1.2083721,0.53,0.9895178,0.74526274,0.57920176,2.9441552,2.7764883,41.1958,34.77346,2.014704,62.970673,2.9311016,0.9697031,1.5194529,1.4848826,1.5822092,0.07699638,15.017126,2.6444445,0.52,14.339853,2.3799999,0.52,13.911876,0.52,13.884816,2.2666667,0.52,-2.0827692,1.8274838,5.1377306,1.438711,0.39698875,0.105351925,-0.06687422,0.48608464,1.4833282,12.991807,0.010961214,0.014847105,8.89e-06,0.002075227,0.16452315,0.16961919,24.80777,0.002853437,-10.171932,0.9989401,-1.0827482,-1.1063293,-1.7874231,1.28525,0.92446333,5.103203,0.80796486,0.9716981,0.69700605,1.6931034,1.0791724,33.158043,9.649799,1.68,1.1167169,0.43176463,0.5556383,0.42537552,0.4964423,0.40544245,0.45911503,0.38476098,10.160969,0.4581416,0.38603535,8.070335,0.44247863,0.37892404,0.43141666,0.3718379,0.8303189,0.28620878,0.18819802,0.27426314,0.16570336,0.16812164,0.70556927,1.0233629,0.88610023,0.9955769,0.781117,1.5175756,1.0992343,1.7268965,1.25027,0.3505622,0.68229246,0.5120766,0.6540506,0.5386979,0.646282,0.5675807,0.34979728,0.37203753,0.35217685,0.37380072,0.3451333,0.36689764,0.34284768,0.3623606,141.14403,125.076645,120.91855,59.00705,9.74694,2.2196245,2.218126,5.2247396,4.795475,-0.07120519,0.08010368,-0.26002336,6.8228717,-3.88e-05,-3.74e-08
0.011973808,28.747486,5.814348,49.239487,3.20375,0.53,5.626506,3.3426943,20.490944,1.5732353,0.53,3.1663806,18.297512,1.5282856,3.85,0.53,0.88145816,3.0961013,17.630138,1.5282856,0.56,0.8831485,3.0462599,17.149616,1.4858333,0.53,2.9775488,16.409258,1.2735714,0.53,0.7487381,0.7465973,0.5350908,2.4131355,2.6529233,35.903156,39.00666,2.223728,43.109467,1.9097053,1.5467489,1.0991563,1.2711542,1.2542909,0.12600486,16.358288,4.2708335,1.11,15.6928625,4.659091,1.89,15.288436,1.89,14.704896,4.2708335,1.89,-2.0880718,1.7789791,4.9654765,1.3974009,0.4946719,0.01310997,-0.025092393,0.4842932,1.4704148,15.924137,0.015600624,0.062467795,8.39e-06,0.00311804,0.069885194,0.07246335,38.57891,0.000890869,2.3403928,0.000751597,-1.0014,-1.2672322,-0.81424904,0.6077011,0.47370443,4.1709104,0.51320416,0.8101587,0.6304942,0.8980357,0.6871027,25.784992,6.540806,0.6914865,0.5062953,0.36386383,0.51598036,0.36152416,0.4182677,0.29859734,0.39058822,0.29494324,11.905418,0.39058822,0.29735452,9.913946,0.39058822,0.29727843,0.37942854,0.2783216,0.70171326,0.28929347,0.19129844,0.29093406,0.16828811,0.16317426,0.7031232,0.5136628,0.55268234,0.94290906,0.78209305,1.0697871,0.7128616,1.0175511,0.69608486,0.40565965,0.5803675,0.34912193,0.5349495,0.3951529,0.81890625,0.32809696,0.41716534,0.29350212,0.40753844,0.289466,0.39834586,0.28640765,0.38115108,0.2856781,137.05455,128.66988,117.71714,59.615673,10.787365,2.5191994,2.5183764,5.7759094,4.5172367,-0.13319154,0.078215405,-0.13463323,7.424248,-9.75e-06,1.05e-08
0.008102767,4.0501733,2.052638,8.950799,0.8303278,0.5,2.4973752,2.8076782,17.852835,1.7296551,0.55,2.1531477,10.422462,0.83566666,1.8499999,0.5,0.32810244,2.106581,10.051492,0.8087096,0.5,0.32703698,2.0728858,9.807847,0.8087096,0.5,2.0448866,9.578516,0.8087096,0.5,0.8744076,0.7064521,0.577857,1.9697719,2.0075927,13.341518,10.339525,1.4007641,9.745867,1.3349229,0.5147024,0.79012233,0.7721636,0.31795654,0.3479463,8.11884,3.3392856,0.53,7.951461,2.7316666,0.53,7.7865415,0.53,7.628352,2.4585,0.53,-2.034423,1.7440796,4.54562,1.4162179,0.21682465,0.046687104,-0.1432272,0.49970374,1.48266,14.5862255,0.022381378,0.078628376,6.05e-06,0.010307235,0.08092262,0.084634855,31.08964,0.001189296,-22.862404,0.9988591,-1.1959326,-1.1430792,-1.6897854,0.4421239,0.33779776,2.010112,0.35249278,0.40314516,0.30534166,0.3968254,0.31693935,3.438768,2.4408062,0.40983608,0.31727427,0.4268339,0.64064103,0.4422658,0.46277776,0.34832233,0.3266883,0.23307739,5.6691256,0.3266883,0.24071448,4.706931,0.33098683,0.24971773,0.32882354,0.2496272,0.72060245,0.31437498,0.22220418,0.25296482,0.15232608,0.14415997,0.6406946,0.3191618,0.24451464,0.340068,0.22129898,0.3495804,0.25334007,0.390625,0.27957183,0.37359935,0.24036829,0.5641073,0.70718306,0.5683188,0.8808772,0.50938314,0.23194444,0.18381691,0.22764705,0.18386947,0.22662163,0.18344256,0.22459821,0.18109751,143.6191,128.83089,126.869225,63.12379,10.893029,2.304009,2.3019469,6.676186,4.5139055,-0.119098544,0.060346507,-0.07330886,7.479377,-1.55e-05,-4.14e-08
0.014092342,9.010953,3.019313,15.672028,1.6925,0.53,2.7256966,3.2115805,21.288849,1.9103571,0.78,2.083503,8.63847,0.86241937,2.33,0.53,0.35753945,2.073275,8.606505,0.84873015,0.53,0.3235738,2.0409045,8.402526,0.84873015,0.53,2.0181944,8.260465,0.8467187,0.53,0.8063739,0.80994195,0.6307692,2.2254066,2.799273,33.91994,23.51202,1.5237709,16.577713,1.4267479,0.61862355,0.66825855,0.39842907,0.4169519,0.8508431,8.743381,2.9705553,0.77,8.543665,2.9705553,0.77,8.405153,0.77,8.150796,2.6735,0.78,-2.0806427,1.8217763,4.8601537,1.5109146,0.5443765,0.119680785,-0.22306076,0.4959229,1.5026166,12.868116,0.024454148,0.14237584,7.55e-06,0.005100671,0.08897974,0.092284136,34.297096,0.001073826,-22.013357,0.9988426,-1.3393049,-1.2980949,-0.8220564,0.6404762,0.49303007,2.5400536,0.5142111,0.53039604,0.42544508,0.4892727,0.39300817,8.022171,3.2942033,0.4339516,0.3487865,0.5186495,0.6148276,0.48830563,0.60806817,0.44005248,0.33860758,0.29556137,4.9347477,0.3429487,0.29488015,4.026353,0.3451613,0.2963593,0.3429487,0.29580325,0.7506002,0.3322222,0.2393816,0.31087208,0.21126138,0.16860582,0.715605,0.5373476,0.55678064,0.5282178,0.4085044,0.46181032,0.37245685,0.4087786,0.33047915,0.32033405,0.29996482,0.61971414,0.67822784,0.5965751,0.879836,0.778897,0.2676617,0.2630448,0.269,0.2618522,0.26633662,0.2603912,0.26633662,0.26093647,150.2654,131.6602,131.47751,65.625435,9.319164,2.2148037,2.2152505,6.421057,4.8927755,-0.15316932,0.046214294,0.002290634,7.1265693,1.37e-05,-1.35e-08
0.006672227,4.613856,2.338152,11.802317,0.71969694,0.24,2.3719041,1.5858464,6.5022883,0.37015384,0.24,1.4036589,6.00508,0.34357142,0.87,0.24,0.12090179,1.4449759,6.195292,0.3437143,0.24,0.15412584,1.4826089,6.354651,0.34869564,0.24,1.5054249,6.459465,0.35382354,0.24,0.10241465,0.65774554,0.5518797,1.9880052,2.1277852,15.163706,9.491307,1.3644481,11.522727,1.4963931,0.13196434,0.7592661,0.8458162,0.71388376,0.10199834,4.929436,1.1005,0.32999998,4.9737725,1.1005,0.37,5.049989,0.48999998,5.1028714,1.158421,0.48999998,-2.0321248,1.7271643,4.331985,1.4724576,0.065778516,0.17341548,-0.22122423,0.49312785,1.6000274,15.361941,0.1615925,0.028678669,7.59e-07,0.00677392,0.3266189,0.32794765,6.0114136,0.9953429,-21.517054,0.998993,-1.1659263,-1.2044188,-1.3036826,0.40491226,0.3061069,1.7014018,0.334458,0.3241667,0.23218717,0.3646875,0.27798492,3.9455283,2.3365426,0.34289855,0.25628042,0.23904407,0.40701756,0.26620644,0.2228972,0.14343095,0.21880732,0.14086902,3.3974488,0.2228972,0.14342618,2.932488,0.2228972,0.14242502,0.2293269,0.15218547,0.69270337,0.2478125,0.1601828,0.2564516,0.15452825,0.16185768,0.68491125,0.29901266,0.28644425,0.2986076,0.18181235,0.34573528,0.22708268,0.31131577,0.23389405,0.32011604,0.17120007,0.2021405,0.4371698,0.28385472,0.5148889,0.3463109,0.15788078,0.10241076,0.1644138,0.1049454,0.1667133,0.106971785,0.16555555,0.10473767,153.3983,143.54059,132.40913,69.806755,11.922508,2.4002876,2.4062724,6.136029,4.222728,-0.15486602,0.12459367,-0.11875297,6.5728903,-5.64e-05,-1.2e-07
0.005899144,19.363834,5.8473415,48.429882,3.3439999,2.05,5.945832,4.8847537,36.573578,3.3426666,2.05,4.5587587,32.311802,3.13375,4.97,1.0699999,0.95288295,4.4673667,31.352213,3.13375,1.0699999,0.952043,4.3715644,30.169146,3.13375,1.0699999,4.3840294,30.618488,3.13375,1.0699999,0.6655258,0.9173404,0.5357219,4.693022,4.934021,71.94389,58.675667,3.303961,55.35098,2.6557891,1.3554077,1.5372676,1.898736,2.1416059,0.22057426,39.624546,5.582222,2.1299999,38.15377,4.5672727,2.1299999,36.393116,2.1299999,37.201668,5.0239997,2.1299999,-2.2342987,2.0911689,7.1628656,1.4104619,0.021677125,0.023052406,-0.044645894,0.4830734,1.3273,13.258159,0.9987876,-0.03765916,3.03e-06,0.00631845,0.06106031,0.06333748,43.050743,0.000631845,-33.948532,0.9994812,-1.1145037,-1.1320504,-1.8208742,1.2262499,0.9922023,2.6908054,1.1318376,1.2429268,0.98453236,1.341081,1.0658028,17.319685,6.764908,1.272564,0.9751778,0.3518613,0.61211765,0.43792015,1.1988372,0.8910968,0.904386,0.6745947,13.754172,0.87372875,0.652386,11.294146,0.8450819,0.6393289,0.87372875,0.66027206,0.796853,0.3132934,0.20078325,0.34300655,0.22039348,0.16518149,0.66062003,0.9800927,0.96909446,1.3675,0.93046623,1.524375,0.9863164,1.402647,0.9717657,0.36048403,1.2380027,0.34615925,0.7127397,0.42683288,0.754058,0.48113525,1.0817021,0.81115025,0.98480004,0.7177925,0.9649056,0.72785974,1.0228,0.73530096,117.857315,117.39546,105.516235,58.201897,10.640667,2.1944754,2.1927745,7.716291,4.943985,-0.2236763,0.08634834,-0.65763515,11.777107,-5.07e-05,-2.18e-08
0.004420527,25.906685,6.210586,51.51549,3.8092306,1.3399999,5.943553,3.6374047,22.84788,2.1499999,0.53,3.493484,21.10774,1.7793102,4.72,0.53,1.1072394,3.4444022,20.644285,1.7793102,0.53,1.1055377,3.3929632,20.241081,1.6645161,0.52,3.3641984,19.998713,1.6645161,0.52,0.13174573,0.7011514,0.60808736,3.4817073,3.5241182,61.458042,78.92758,2.3046272,75.463936,1.7554181,1.2186722,0.95779693,0.9416498,0.40597293,0.7146149,21.274214,6.6771426,1.3299999,20.740175,6.675714,1.3199999,20.392221,1.3299999,19.95668,6.6771426,1.3299999,-2.023417,1.6647476,5.3245115,1.4494565,0.5335126,0.009070968,0.002157017,0.48655397,1.574616,18.043804,0.10866527,0.018247154,6.35e-07,0.007514612,0.22663377,0.22863698,19.152594,0.010576121,-9.151101,0.9958983,-1.0848546,-1.0777013,-1.0711675,1.8546153,1.6691483,4.206864,1.2009658,1.7225,1.2614571,2.0083332,1.4475553,22.85738,10.159863,1.39,0.98118025,0.53336143,0.5529032,0.39371932,0.63654315,0.5814914,0.5665934,0.4882976,11.249491,0.56043476,0.45172518,9.201507,0.5485106,0.44719085,0.5485106,0.44614092,0.83264196,0.27780747,0.18098785,0.2583,0.1556631,0.17161807,0.5424178,1.7710364,1.7325696,2.411,1.18788,2.7817647,1.9660839,1.9275999,1.3892555,0.4664477,1.1723711,0.6837918,0.59790695,0.43929222,0.84849995,0.45217958,0.563956,0.5511412,0.55182797,0.54695356,0.55182797,0.54682106,0.53458333,0.5431076,138.9991,126.167816,131.14265,70.118385,10.127077,2.4410546,2.4416704,6.3004313,5.0117235,-0.026640901,0.02599268,-0.2642391,7.723323,-5.22e-06,-2.22e-08
0.0056621,10.5797825,3.867137,27.026356,2.0823076,0.62,5.1538377,2.8445222,15.611401,1.4627026,0.53999996,2.871819,15.751026,1.2885715,3.7099998,0.53999996,0.7656201,2.821836,15.266805,1.2586046,0.53999996,0.74945426,2.7985811,15.077102,1.2302272,0.53999996,2.781555,14.894034,1.2028888,0.53999996,0.8231429,0.7768006,0.6387291,2.6227052,2.4943752,21.388796,20.594461,1.8522435,28.005182,1.2032425,0.69530797,0.6926237,0.8418253,0.9439704,0.8180325,14.344408,6.7662497,1.89,13.762049,6.7662497,1.89,13.483868,1.89,13.3348055,6.7662497,1.89,-2.1143646,1.8794984,4.75319,1.5466115,0.26117906,0.034127425,-0.06583,0.5043812,1.4842454,13.495831,0.001339136,0.15254442,-1.38e-06,0.000236016,0.8539109,0.8503823,-25.805882,0.99929196,12.275928,0.002380953,-1.0829443,-1.2442006,-0.8764976,0.63011765,0.5465998,2.2033858,0.530397,0.60179776,0.5317658,0.6375,0.5598934,9.458554,3.6048238,0.82984376,0.7061135,0.24194397,0.37280822,0.26832268,0.4028148,0.30170363,0.42484373,0.36034605,8.241364,0.41196966,0.36123112,6.6863785,0.41196966,0.36321306,0.40582088,0.3563171,0.8297014,0.29181817,0.18580118,0.26774508,0.152237,0.15043092,0.7361072,0.56066805,0.4786691,0.5884615,0.4503125,0.6866666,0.5715082,0.97499996,0.8376703,0.44146195,0.50303483,0.24762471,0.36409396,0.27331215,0.31911764,0.2909015,0.37013698,0.34506696,0.36761904,0.35367042,0.37268966,0.328346,0.36761904,0.34931532,145.70647,124.71304,125.62193,65.111946,11.154673,2.3543727,2.3509748,5.7218585,4.514029,-0.09832167,0.03659611,-0.007500387,7.07506,3.63e-06,1.41e-08
0.005827758,18.903322,4.6767397,34.464344,1.9439131,1.01,7.3328695,1.6324451,7.0446367,0.6647143,0.45999998,1.6105667,6.695946,0.6080263,1.14,0.45999998,0.16336122,1.6027778,6.606978,0.6080263,0.45999998,0.16265897,1.6126704,6.630492,0.60012984,0.45999998,1.5959972,6.518161,0.5924359,0.45999998,0.14599957,0.8686987,0.6512107,1.8318565,2.1140711,38.76501,47.068443,1.4812443,30.504063,1.3317754,0.8498341,0.761759,0.8506035,0.72913635,0.65667456,6.2495008,2.587647,0.48,6.1208835,2.443889,0.48,6.0913925,0.48,5.980758,1.7584,0.45999998,-2.0650737,1.7177219,3.9465625,1.5538758,0.23549709,-0.001268292,-0.05567562,0.49741155,1.9289176,19.292557,0.30023274,0.17615725,7.52e-06,0.00417412,0.32807672,0.33298904,14.8207245,0.99731666,-14.2938595,0.9984383,-1.0494603,-1.0648528,-1.9298942,0.43552378,0.3086477,2.7027335,0.57199556,0.8655769,0.66467994,0.5132954,0.38131103,16.943346,4.4627542,1.1584615,0.87844044,0.24886249,0.35821703,0.22424708,0.28,0.18038008,0.2717647,0.1743359,4.60875,0.27337277,0.17511845,3.775178,0.27337277,0.17764756,0.26860467,0.17176995,0.8071658,0.25572222,0.175571,0.21985714,0.12368376,0.1412657,0.6758298,0.34616598,0.5740984,0.9471739,0.6420607,0.6741791,0.46991652,1.5174999,0.8678426,0.4318518,0.5438542,0.20173572,0.34485072,0.18779531,0.4968817,0.22133602,0.22468291,0.1403719,0.22251207,0.14273734,0.2280198,0.1457709,0.22359222,0.14151756,160.97069,150.29294,156.69283,76.150734,9.547207,2.9836426,2.9828703,3.9682848,3.7960224,-0.15644217,0.07190132,-0.13835892,5.201814,-3.63e-05,-4.71e-09
0.001601831,14.01019,4.3073354,31.784836,2.0909524,0.48,4.6077824,1.8233962,8.407048,0.6454412,0.42999998,1.6825292,7.4717064,0.6012329,1.2099999,0.42999998,0.19228223,1.6881577,7.5331726,0.6095833,0.42999998,0.1990145,1.684696,7.527379,0.618169,0.42999998,1.6606623,7.369357,0.6012329,0.42999998,0.43072703,0.8064112,0.7181414,1.9026206,2.0460935,39.00526,43.14739,1.6526287,27.070076,1.3243774,1.798805,0.8437582,0.80639595,0.7041812,0.4304984,6.2736144,2.9259999,0.48,6.266578,3.2453845,0.48,6.32496,0.63,6.1873302,3.0135715,0.48,-2.0260718,1.6496465,4.0923715,1.6425442,0.51348877,0.07473333,-0.026304785,0.50262976,1.9752674,19.21059,0.37936324,0.13359152,-3.22e-08,0.003682111,0.5286123,0.52855355,-1.0062765,0.9984658,-28.693317,0.99951124,-1.0761331,-1.0743679,-1.7105106,0.4434375,0.32300198,2.555097,0.5244145,0.8308,0.6394786,0.5067857,0.3746962,12.513348,3.7255557,0.52543205,0.39280662,0.57163346,0.5578205,0.39648095,0.273481,0.18353647,0.24976878,0.17057061,4.556246,0.25269005,0.1733658,3.8738132,0.25568047,0.17516245,0.25573966,0.1745712,0.75597984,0.23883978,0.15246986,0.22307691,0.12689249,0.13768417,0.70710903,0.3660683,0.76676726,1.0385,1.0162992,0.51421684,0.37936607,0.666875,0.60141504,0.43001434,0.26373053,0.61216956,0.68015873,0.5005602,0.89270836,0.46702698,0.2184422,0.1491321,0.21954545,0.14920646,0.21954545,0.14939067,0.2184422,0.1486472,154.91159,160.6072,155.96873,79.4805,13.091377,3.0521483,3.0537963,4.254687,4.1633673,-0.13696921,0.106405064,-0.031648606,5.662628,-4.07e-05,-2.16e-08
